p_date,account,campaign,adset,ad_name,song_id,bid_type,obj_type,cost_usd,impressions,clicks,new_dev,login_dev,solo_open_dev,pub_dev,dur_total_min,obs_dev,ret_dev
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0916,音高线_AI车内蓝衬衫男_歌房5_110326_评论_IRQ_0916,110326,LC,Login,1.78,4793,19,1,1,1,1,8.8,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0916,音高线_车内双男吉他_歌房5_101180_EG_0916,101180,LC,Login,1.21,1351,2,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0916,音高线_车内双男吉他_歌房5_101180_IRQ_0916,101180,LC,Login,0.96,1684,10,1,1,1,0,1.8,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0917,音高线-真人K歌-社交分享-499832-260907-17_EG_0917,499832,LC,Login,0.84,1510,3,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0917,音高线-真人K歌-下载CTA-121200-260907-18_EG_0917,121200,LC,Login,0.55,1656,4,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0917,音高线-真人K歌-下载CTA-100646-260907-22_EG_0917,100646,LC,Login,0.28,1259,0,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0917,音高线-真人K歌-社交分享-121200-260907-20_EG_0917,121200,LC,Login,0.23,846,3,0,0,0,0,0.0,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_分时_0914_EG_LC,代投_登录_安卓_LC_年龄44_EG_分时_0917,音高线-真人K歌-下载CTA-121200-260907-19_EG_分时_0914,121200,LC,Login,201.06,478137,2245,126,91,60,2,714.1,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_ALG_LC,代投_登录_安卓_LC_唱歌定向年龄44_ALG_0911,音高线-真人K歌-下载CTA-121200-260907-19_ALG_0911,121200,LC,Login,100.53,282257,1378,113,85,65,1,861.0,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0904_EG_LC,代投_登录_安卓_LC_唱歌定向年龄44_EG_0904,GF-音高线-真人k歌-模板19-260629-ldqGF-音高线-真人k歌-模板19-101156-260629-ldq-02.mp4_EG_0904,101156,LC,Login,100.31,152656,1183,38,33,28,0,396.1,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_分时_0920_多国_LC,代投_登录_安卓_LC_年龄44_多国_分时_0920,音高线-真人K歌-下载CTA-121200-260907-19_EG_分时_0914,121200,LC,Login,98.18,294158,1531,125,104,63,5,1092.3,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0904_EG_LC,代投_登录_安卓_LC_唱歌定向年龄44_EG_0911,GF-歌声对比-真人k歌-模板11-105313-260511-zcx- (6).mp4_EG_0911,105313,LC,Login,97.21,206908,1113,54,43,37,1,461.7,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_IRQ_LC,代投_登录_安卓_LC_唱歌定向年龄44_IRQ_0903,GF-音高线-真人k歌-模板19-260629-ldqGF-音高线-真人k歌-模板19-101156-260629-ldq-02.mp4_IRQ_0903,101156,LC,Login,80.25,202920,1541,62,46,30,3,452.6,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_ALG_LC,代投_登录_安卓_LC_唱歌定向年龄44_ALG_0903,GF-音高线-真人k歌-模板19-260629-ldqGF-音高线-真人k歌-模板19-101156-260629-ldq-02.mp4_ALG_0903,101156,LC,Login,68.5,113857,762,28,25,16,0,220.4,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_LBN_LC,代投_登录_安卓_LC_唱歌定向年龄44_LBN_0911,音高线_AI车内黑衬衫男_歌房5_109959_LBN_0911,109959,LC,Login,50.16,79767,313,8,7,7,2,440.6,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0904_EG_LC,代投_登录_安卓_LC_唱歌定向年龄44_测新_EG_0917,音高线-真人K歌-下载CTA-121200-260907-18_EG_0917,121200,LC,Login,50.12,151963,952,86,60,54,0,705.1,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_ALG_LC,代投_登录_安卓_LC_唱歌定向年龄44_ALG_0903,GF-音高线-真人k歌-模板20-100375-1010-LJQ-01.mp4_ALG_0903,100375,LC,Login,31.76,86598,503,17,15,12,0,123.6,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0904_EG_LC,代投_登录_安卓_LC_唱歌定向年龄44_测新_EG_0923,音高线_卷毛室内女_歌房5_110326_0923_EG_0923,110326,LC,Login,19.7,34716,318,38,30,24,2,368.2,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_ALG_LC,代投_登录_安卓_LC_唱歌定向年龄44_ALG_0923,音高线_室内帽子男_歌房5_110326_0923_ALG_0923,110326,LC,Login,18.65,42166,152,19,16,11,1,87.7,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0904_EG_LC,代投_登录_安卓_LC_唱歌定向年龄44_测新_EG_0923,音高线_室外皮衣男_歌房5_110326_评论_EG_0923,110326,LC,Login,13.33,26373,139,21,18,13,0,187.5,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_ALG_LC,代投_登录_安卓_LC_唱歌定向年龄44_ALG_0923,音高线_室内眼镜女_歌房5_110326_ALG_0923,110326,LC,Login,10.86,22385,108,6,6,1,0,20.2,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_LBN_LC,代投_登录_安卓_LC_唱歌定向年龄44_LBN_0903,GF-音高线-真人k歌-模板19-260629-ldqGF-音高线-真人k歌-模板19-101156-260629-ldq-02.mp4_LBN_0903,101156,LC,Login,10.65,19670,79,8,7,5,0,93.8,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_ALG_LC,代投_登录_安卓_LC_唱歌定向年龄44_ALG_0923,音高线_卷毛室内女_歌房5_110326_0923_ALG_0923,110326,LC,Login,10.42,23071,194,6,5,3,0,105.6,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_ALG_LC,代投_登录_安卓_LC_唱歌定向年龄44_ALG_0923,音高线_卷毛室内女_歌房5_110326_评论_ALG_0923,110326,LC,Login,7.51,20525,128,9,7,5,0,65.7,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0904_EG_LC,代投_登录_安卓_LC_唱歌定向年龄44_测新_EG_0923,音高线_卷毛室内女_歌房5_110326_评论_EG_0923,110326,LC,Login,7.11,17985,118,14,10,9,0,101.2,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0904_EG_LC,代投_登录_安卓_LC_唱歌定向年龄44_测新_EG_0923,音高线_室内眼镜女_歌房5_110326_EG_0923,110326,LC,Login,5.1,9885,69,3,3,2,0,34.4,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0904_EG_LC,代投_登录_安卓_LC_唱歌定向年龄44_测新_EG_0923,音高线_室内帽子男_歌房5_110326_0923_EG_0923,110326,LC,Login,5.05,11649,55,6,4,3,1,37.4,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_ALG_LC,代投_登录_安卓_LC_唱歌定向年龄44_ALG_0923,音高线_室外皮衣男_歌房5_110326_评论_ALG_0923,110326,LC,Login,3.54,6854,57,3,1,1,0,11.8,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0904_EG_LC,代投_登录_安卓_LC_唱歌定向年龄44_EG_0911,音高线_舞台墨镜女_歌房6_109959_评论_EG_0911,109959,LC,Login,3.01,3595,30,4,3,2,0,10.5,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_分时_0920_多国_LC,代投_登录_安卓_LC_年龄44_多国_分时_0920,音高线_AI车内眼镜男_歌房5_109959_EG_分时_0914,109959,LC,Login,2.96,7618,56,2,2,1,0,20.4,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_分时_0920_多国_LC,代投_登录_安卓_LC_年龄44_多国_分时_0920,GF-音高线-真人k歌-模板19-260629-ldqGF-音高线-真人k歌-模板19-101156-260629-ldq-02.mp4_EG_分时_0914,101156,LC,Login,0.92,1891,11,1,1,1,0,6.8,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_ALG_LC,代投_登录_安卓_LC_唱歌定向年龄44_ALG_0911,音高线_AI车内黑衬衫男_歌房5_109959_ALG_0911,109959,LC,Login,0.19,340,3,0,0,0,0,0.0,0,0
20260924,代投-安卓,SinoInteractive_代投_登录_安卓_唱歌定向_0903_ALG_LC,代投_登录_安卓_LC_唱歌定向年龄44_ALG_0911,音高线_AI车内蓝金衬衫男_歌房5_109959_ALG_0911,109959,LC,Login,0.08,244,1,0,0,0,0,0.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_EG_LC,自投_登录_iOS_LC_优质素材_EG_0921,音高线_紫衣服男_歌房5_110326.mp4_EG_0921,110326,LC,Login,208.45,390730,1306,27,23,20,1,250.5,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_IRQ_LC,自投_登录_iOS_LC_优质素材_IRQ_0921,音高线_紫衣服男_歌房5_110326.mp4_IRQ_0921,110326,LC,Login,177.45,422681,1820,53,45,31,1,567.9,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_ALG_LC,自投_登录_iOS_LC_优质素材_ALG_0921,音高线_紫衣服男_歌房5_110326.mp4_ALG_0921,110326,LC,Login,150.96,306963,1055,34,33,29,2,311.8,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_定时_LC_0914,自投_登录_iOS_LC_定时_国家通投_0914,音高线_AI绿哥_歌房4_131061.mp4_0914,131061,LC,Login,87.9,136613,504,23,19,11,0,179.5,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_MA_LC,自投_登录_iOS_LC_优质素材_MA_0921,音高线_紫衣服男_歌房5_110326.mp4_MA_0921,110326,LC,Login,83.13,149985,531,23,21,18,1,227.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_IRQ_LC,自投_登录_iOS_LC_跑量计划_IRQ_0908,音高线_反戴帽子男_歌房5_110326.mp4_IRQ_0908,110326,LC,Login,79.88,181737,640,25,23,20,3,351.8,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_ALG_LC,自投_登录_iOS_LC_优质素材_ALG_0921,音高线_AI车内蓝衬衫男_歌房5_110326_评论.mp4_ALG_0921,110326,LC,Login,77.63,169741,532,10,9,7,0,116.1,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_定时_LC_0914,自投_登录_iOS_LC_定时_优质素材_0921,音高线_胡子红绿衫_歌房4_101140_带评论.mp4_0921,101140,LC,Login,53.38,78139,239,10,10,8,0,85.1,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_EG_LC,自投_登录_iOS_LC_优质素材_EG_0921,GF-音高线-真人k歌-模板19-110326-260709-lhz-10.mp4_EG_0921,110326,LC,Login,52.43,86972,289,8,7,6,1,44.5,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_IRQ_LC,自投_登录_iOS_LC_优质素材_IRQ_0921,音高线_胡子红绿衫_歌房4_101140_带评论.mp4_IRQ_0921,101140,LC,Login,39.28,114618,345,12,9,8,0,111.7,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0924,音高线_车内眼镜黑衣男_歌房5_526477.mp4_0924,526477,LC,Login,30.45,63032,197,3,3,3,0,24.7,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_定时_LC_0914,自投_登录_iOS_LC_定时_国家通投_0914,音高线_白衣板寸_代理片尾_101156.mp4_0914,101156,LC,Login,24.38,35570,87,3,3,3,0,24.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_IRQ_LC,自投_登录_iOS_LC_优质素材_IRQ_0921,GF-音高线-真人k歌-模板19-110326-260709-lhz-10.mp4_IRQ_0921,110326,LC,Login,20.96,41891,156,3,1,1,0,4.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_IRQ_LC,自投_登录_iOS_LC_优质素材_IRQ_0921,音高线_AI车内蓝衬衫男_歌房5_110326_评论.mp4_IRQ_0921,110326,LC,Login,19.76,40606,197,8,8,5,0,37.6,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_MA_LC,自投_登录_iOS_LC_优质素材_MA_0921,音高线_AI车内蓝衬衫男_歌房5_110326.mp4_MA_0921,110326,LC,Login,15.32,26954,89,1,1,0,0,2.9,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_MA_LC,自投_登录_iOS_LC_优质素材_MA_0921,GF-音高线-真人k歌-模板19-110326-260709-lhz-10.mp4_MA_0921,110326,LC,Login,15.21,23582,85,3,3,0,0,4.9,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0923,音高线_车内橙色女_歌房5_526477.mp4_0923,526477,LC,Login,14.21,31696,112,0,0,0,0,0.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0923,音高线_车内橙色女_歌房5_526477_评论.mp4_0923,526477,LC,Login,13.37,28943,105,1,0,0,0,0.2,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_ALG_LC,自投_登录_iOS_LC_优质素材_ALG_0921,GF-音高线-真人k歌-模板19-110326-260709-lhz-10.mp4_ALG_0921,110326,LC,Login,11.8,20691,80,4,4,3,0,53.5,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_ALG_LC,自投_登录_iOS_LC_优质素材_ALG_0921,音高线_AI车内蓝衬衫男_歌房5_110326.mp4_ALG_0921,110326,LC,Login,10.98,16134,103,4,3,3,0,31.4,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_定时_LC_0914,自投_登录_iOS_LC_定时_优质素材_0921,音高线_AI车内蓝衬衫男_歌房5_110326.mp4_0921,110326,LC,Login,10.24,8029,70,3,2,2,0,29.4,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_MA_LC,自投_登录_iOS_LC_优质素材_MA_0921,音高线_AI车内蓝衬衫男_歌房5_110326_评论.mp4_MA_0921,110326,LC,Login,8.92,12958,41,1,1,1,0,6.4,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_MA_LC,自投_登录_iOS_LC_优质素材_MA_0921,音高线_AI绿哥_歌房4_131061.mp4_MA_0921,131061,LC,Login,7.74,16277,53,0,0,0,0,0.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0922,音高线_室外吉他男_歌房5_110326.mp4_0922,110326,LC,Login,7.32,23279,81,2,2,2,0,14.2,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0924,音高线_室外蓝白条男_歌房5_526477_评论.mp4_0924,526477,LC,Login,5.29,17770,59,1,1,1,0,5.5,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_定时_LC_0914,自投_登录_iOS_LC_定时_优质素材_0921,音高线_AI车内蓝衬衫男_歌房5_110326_评论.mp4_0921,110326,LC,Login,5.28,10505,32,0,0,0,0,0.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0924,音高线_车内头巾女卷毛男_歌房5_526477_评论.mp4_0924,526477,LC,Login,5.26,14903,46,1,1,0,0,1.9,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0924,音高线_车内眼镜黑衣男_歌房5_526477_评论.mp4_0924,526477,LC,Login,4.91,10582,32,0,0,0,0,0.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0924,音高线_车内头巾女卷毛男_歌房5_526477.mp4_0924,526477,LC,Login,4.89,13689,55,0,0,0,0,0.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0924,音高线_室外蓝白条男_歌房5_526477.mp4_0924,526477,LC,Login,4.77,18164,52,1,1,0,0,1.1,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_IRQ_LC,自投_登录_iOS_LC_跑量计划_IRQ_0908,音高线_反戴帽子男_歌房5_110326_评论.mp4_IRQ_0908,110326,LC,Login,4.58,13657,49,3,3,3,0,167.9,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0923,音高线_AI卫生间米色女_歌房5_110326.mp4_0923,110326,LC,Login,4.33,5596,28,1,0,0,0,0.1,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0923,音高线_车内帽子男_歌房5_526477.mp4_0923,526477,LC,Login,4.19,4340,12,0,0,0,0,0.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_定时_LC_0914,自投_登录_iOS_LC_定时_国家通投_0914,GF-音高线-真人k歌-模板19-110326-260709-lhz-10.mp4_0914,110326,LC,Login,4.17,3287,18,1,0,0,0,0.2,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0922,音高线_室内帽子男_歌房5_110326_评论.mp4_0922,110326,LC,Login,3.83,8059,34,1,1,1,0,3.4,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0923,音高线_车内卷毛女_歌房5_110326.mp4_0923,110326,LC,Login,3.52,4874,15,0,0,0,0,0.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0923,音高线_AI卫生间米色女_歌房5_110326_评论.mp4_0923,110326,LC,Login,3.41,3861,23,0,0,0,0,0.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_LC_iOS_测试计划_0826,自投_登录_LC_iOS_初筛_0922,音高线_室内帽子男_歌房5_110326.mp4_0922,110326,LC,Login,3.39,7886,43,0,0,0,0,0.0,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_IRQ_LC,自投_登录_iOS_LC_跑量计划_IRQ_0908,音高线_白头巾盲女_歌房5_110326_评论.mp4_IRQ_0912,110326,LC,Login,3.04,3807,23,1,1,1,0,17.3,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_定时_LC_0914,自投_登录_iOS_LC_定时_国家通投_0914,音高线_AI车内蓝衬衫男_歌房5_110326.mp4_0914,110326,LC,Login,2.75,2774,14,1,1,1,0,2.7,0,0
20260924,自投-iOS,SinoInteractive_自投_登录_iOS_唱歌定向_0908_IRQ_LC,自投_登录_iOS_LC_优质素材_IRQ_0921,音高线_AI车内蓝衬衫男_歌房5_110326.mp4_IRQ_0921,110326,LC,Login,2.47,4439,30,3,3,3,0,14.0,0,0
